Model Number,Variable,Coefficient,P-Value,Confidence Interval Low,Confidence Interval High
1,const,21.777900086814324,1.6085412461128967e-39,18.74399760302205,24.8118025706066
1,Variable_1,0.011257717260768227,2.3304723664122696e-130,0.010546898533135188,0.011968535988401266
2,const,26.383500664168608,3.333641166157059e-24,21.48370110288567,31.283300225451544
2,Variable_2,0.08457457000697345,1.1311179236518207e-38,0.07263932509677601,0.0965098149171709
3,const,187.48757344125883,1.9614070945354755e-127,175.44018226141935,199.5349646210983
3,Variable_3,-0.6232026185240329,8.447503557117762e-84,-0.6773135938689366,-0.5690916431791292
4,const,15.505940801796587,4.7459683499539806e-17,11.978359639062052,19.033521964531122
4,Variable_1,0.010156035308504303,6.695273435338909e-102,0.009386298440437483,0.010925772176571123
4,Variable_2,0.03010989589481047,4.205126800614586e-10,0.020791006618509855,0.039428785171111085
5,const,12.634744052163876,6.186419563960861e-11,8.905108870926961,16.364379233400793
5,Variable_1,0.011532057391729826,1.0357885760995888e-84,0.010538559274970426,0.012525555508489225
5,Variable_2,0.046306716193302434,7.523969487211082e-14,0.03441617835904302,0.058197254027561846
5,Variable_1_x_Variable_2,-4.7517890500301415e-06,2.7746629902614347e-05,-6.962013499360022e-06,-2.5415646007002606e-06
6,const,104.09657803847846,2.839983831241087e-60,92.8959319152081,115.29722416174882
6,Variable_1,0.008562283606835107,1.2568246592123999e-89,0.007852321878853784,0.00927224533481643
6,Variable_3,-0.34597433578328884,4.468020561697767e-43,-0.39174281896305574,-0.30020585260352195
7,const,146.3926279507378,6.706942274539263e-78,133.05104452742324,159.73421137405234
7,Variable_1,-0.005770772452583514,0.00010092565532619273,-0.008666800983799662,-0.0028747439213673656
7,Variable_3,-0.5337605027823012,5.181403847653032e-62,-0.5901589146192804,-0.47736209094532206
7,Variable_1_x_Variable_3,7.398367024379995e-05,6.543387874607131e-22,5.942975195666698e-05,8.853758853093293e-05
8,const,152.09376887639385,2.933312374508753e-82,138.72491764948822,165.46262010329949
8,Variable_2,0.04986737841573304,1.059777866553954e-20,0.03972911371107437,0.060005643120391715
8,Variable_3,-0.5307380819225992,7.594095967717511e-66,-0.5847231116584677,-0.4767530521867307
9,const,199.63205656136878,6.412607298105128e-65,179.1449017802018,220.11921134253578
9,Variable_2,-0.07587661769065729,0.0005603988633170542,-0.11884594307840049,-0.03290729230291409
9,Variable_3,-0.7387304981851699,3.2216066706085805e-52,-0.825639269538889,-0.6518217268314508
9,Variable_2_x_Variable_3,0.0005856324080657902,5.728108653053743e-09,0.00039087318225035556,0.0007803916338812249
10,const,95.46532128052867,6.222229930426606e-50,83.92086495360263,107.00977760745471
10,Variable_1,0.007955676495636515,1.2289109481189604e-75,0.007216339932263326,0.008695013059009703
10,Variable_2,0.020484723065984888,1.3947383916405308e-06,0.0122279481164782,0.028741498015491578
10,Variable_3,-0.32763201047794344,1.3648354907639948e-39,-0.37321591159929446,-0.2820481093565924
11,const,94.1554129181609,8.466189682510556e-51,82.89048788206895,105.42033795425286
11,Variable_1,0.009548612180933684,2.3633041100423662e-74,0.008651372950509136,0.010445851411358233
11,Variable_2,0.039669654248764515,1.4124152643044323e-13,0.02936400368052572,0.04997530481700331
11,Variable_3,-0.3363866080684019,5.446971967914705e-43,-0.3809297905184285,-0.29184342561837534
11,Variable_1_x_Variable_2,-5.7038893436003e-06,7.594816628876709e-09,-7.6166943283440496e-06,-3.79108435885655e-06
12,const,137.62307245709195,5.611563244018806e-67,123.78209659119118,151.4640483229927
12,Variable_1,-0.005586066266179054,0.00013978693578933866,-0.008448816061155376,-0.002723316471202733
12,Variable_2,0.01616652703320688,5.0601846570966485e-05,0.008386735251738234,0.02394631881467553
12,Variable_3,-0.5105926191692953,4.3883206226481966e-57,-0.5674204639073394,-0.45376477443125135
12,Variable_1_x_Variable_3,7.055915781635506e-05,2.2186044208485613e-20,5.608529347650029e-05,8.503302215620983e-05
13,const,142.6713772214359,6.580107950865254e-55,126.4029700283729,158.9397844144989
13,Variable_1,0.007947535729094441,1.128219579405044e-80,0.007240111741836096,0.008654959716352786
13,Variable_2,-0.10419714399251548,5.811339452842775e-10,-0.1367165986558805,-0.07167768932915045
13,Variable_3,-0.5341251290005455,8.097859920055076e-46,-0.6021823999255193,-0.46606785807557183
13,Variable_2_x_Variable_3,0.0005808257418085032,3.329239077568801e-14,0.0004338736409376973,0.000727777842679309
