Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, REVOLSL",0.7466743910863318,0.7431962362728719,6.843849852756583e-127,4440.810478919374,4469.481250856399,"const: 42.2422, PI: 0.0121, TTLCONS: 0.0001, CPIAUCSL: -0.3932, PCESV: 0.0055, RSAFS: -0.0003, REVOLSL: 0.0135"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, SP500",0.7560478397848015,0.7526983822074761,1.8546352025575914e-130,4424.070119751681,4452.740891688706,"const: -9.5149, PI: 0.0012, TTLCONS: 0.0001, CPIAUCSL: 0.4425, PCESV: 0.0069, RSAFS: -0.0003, SP500: 0.0131"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, DJIA",0.7537367502651323,0.7503555614815872,1.446636216976583e-129,4428.256570557535,4456.92734249456,"const: -1.7590, PI: 0.0027, TTLCONS: 0.0001, CPIAUCSL: 0.3258, PCESV: 0.0064, RSAFS: -0.0003, DJIA: 0.0014"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, NASDAQCOM",0.7527473149079145,0.7493525411995563,3.465161302431727e-129,4430.036897619769,4458.707669556794,"const: 82.6689, PI: 0.0060, TTLCONS: 0.0001, CPIAUCSL: -1.4411, PCESV: 0.0046, PPIACO: 1.0314, NASDAQCOM: 0.0031"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, REVOLSL",0.7522463263188979,0.7488446740486768,5.385537248469539e-129,4430.93562954727,4459.606401484295,"const: 120.5796, PI: 0.0123, TTLCONS: 0.0001, CPIAUCSL: -2.1390, PCESV: 0.0038, PPIACO: 1.1543, REVOLSL: 0.0431"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, SP500",0.7572386460481157,0.7539055382135361,6.38673880033387e-131,4421.897510935649,4450.568282872674,"const: 64.1751, PI: 0.0008, TTLCONS: 0.0001, CPIAUCSL: -1.1511, PCESV: 0.0064, PPIACO: 1.0670, SP500: 0.0118"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, DJIA",0.7573353213535167,0.7540035408686679,5.85588167496751e-131,4421.720660774005,4450.391432711031,"const: 66.3421, PI: 0.0009, TTLCONS: 0.0001, CPIAUCSL: -1.2162, PCESV: 0.0061, PPIACO: 1.1209, DJIA: 0.0014"
"PI, TTLCONS, CPIAUCSL, PCESV, NASDAQCOM, REVOLSL",0.7395471295798881,0.7359711176290399,2.8837479453364983e-124,4453.129823738818,4481.800595675843,"const: 62.2253, PI: 0.0064, TTLCONS: 0.0000, CPIAUCSL: -0.4364, PCESV: 0.0008, NASDAQCOM: 0.0054, REVOLSL: 0.0553"
"PI, TTLCONS, CPIAUCSL, PCESV, NASDAQCOM, SP500",0.7395108741238805,0.7359343643864509,2.9725102698054337e-124,4453.191624947429,4481.862396884454,"const: 34.3284, PI: 0.0004, TTLCONS: 0.0001, CPIAUCSL: 0.0385, PCESV: 0.0052, NASDAQCOM: 0.0020, SP500: 0.0098"
"PI, TTLCONS, CPIAUCSL, PCESV, NASDAQCOM, DJIA",0.7384934319755709,0.7349029527807276,6.947938730950021e-124,4454.922462543254,4483.5932344802795,"const: 37.1246, PI: 0.0011, TTLCONS: 0.0001, CPIAUCSL: -0.0049, PCESV: 0.0047, NASDAQCOM: 0.0025, DJIA: 0.0010"
