Variables,R-squared,Adj. R-squared,P-value,AIC,BIC
"HPIPONM226S, PI, TTLCONS, RSAFS",0.7891747709039914,0.7872538120967384,6.952070240889886e-147,4355.271583483018,4375.750706295179
"HPIPONM226S, PI, TTLCONS, PPIACO",0.7471742812477378,0.7448706300518173,1.3701274167951999e-129,4435.933463324641,4456.412586136802
"HPIPONM226S, PI, TTLCONS, NASDAQCOM",0.7547374525309601,0.7525027140574381,1.761570857363814e-132,4422.448680015728,4442.9278028278895
"HPIPONM226S, PI, TTLCONS, REVOLSL",0.7502767180910452,0.748001335112376,9.152570148991169e-131,4430.451412993085,4450.930535805246
"HPIPONM226S, PI, TTLCONS, SP500",0.7632182168513468,0.7610607518568261,7.872576588284172e-136,4406.824192005972,4427.303314818133
"HPIPONM226S, PI, CPIAUCSL, PCESV",0.76028531863802,0.7581011301973641,1.1694395094462806e-134,4412.290017459292,4432.769140271454
"HPIPONM226S, PI, CPIAUCSL, RSAFS",0.7812288259814926,0.7792354667649231,2.31507166729446e-143,4371.698173313295,4392.177296125456
"HPIPONM226S, PI, CPIAUCSL, PPIACO",0.7730328371003782,0.7709647991696299,7.346310788797998e-140,4388.028064463116,4408.507187275277
"HPIPONM226S, PI, CPIAUCSL, NASDAQCOM",0.7600436110559374,0.7578572202682923,1.4585194484626135e-134,4412.7374831589,4433.216605971062
"HPIPONM226S, PI, CPIAUCSL, REVOLSL",0.759593352035906,0.757402858660379,2.1997002155961288e-134,4413.569833061292,4434.048955873453
"HPIPONM226S, PI, CPIAUCSL, SP500",0.7640357872180104,0.7618857716117964,3.688571078641907e-136,4405.288476810843,4425.767599623005
"HPIPONM226S, PI, PCESV, RSAFS",0.778845303918837,0.7768302269613776,2.490159101800106e-142,4376.50941185675,4396.988534668912
"HPIPONM226S, PI, PCESV, PPIACO",0.746847924178907,0.7445412993422683,1.8177977689107987e-129,4436.50622584588,4456.985348658041
"HPIPONM226S, PI, PCESV, NASDAQCOM",0.754714634564148,0.7524796881820446,1.7978582466213996e-132,4422.4899855722515,4442.969108384413
"HPIPONM226S, PI, PCESV, REVOLSL",0.7514610901579812,0.7491964987243409,3.2287500745196553e-131,4428.3406279613155,4448.819750773477
"HPIPONM226S, PI, PCESV, SP500",0.7643455577048794,0.7621983646087963,2.7657069666586797e-136,4404.705216948376,4425.184339760537
"HPIPONM226S, PI, RSAFS, PPIACO",0.7795178309461404,0.7775088817975858,1.2772286275191052e-142,4375.157159567554,4395.636282379715
"HPIPONM226S, PI, RSAFS, NASDAQCOM",0.7797492867589068,0.7777424465471428,1.0145467463597713e-142,4374.69081637219,4395.169939184351
"HPIPONM226S, PI, RSAFS, REVOLSL",0.7792120457088917,0.7772003103622757,1.7306805136912737e-142,4375.772513564518,4396.251636376679
"HPIPONM226S, PI, RSAFS, SP500",0.7849336087908871,0.7829740061375011,5.475894460182924e-145,4364.11485787068,4384.593980682841
"HPIPONM226S, PI, PPIACO, NASDAQCOM",0.7566124235973576,0.7543947691426638,3.2765388461761187e-133,4419.041369965504,4439.520492777665
"HPIPONM226S, PI, PPIACO, REVOLSL",0.7505864083720614,0.748313847172718,6.973146988363314e-131,4429.900451885198,4450.379574697359
"HPIPONM226S, PI, PPIACO, SP500",0.7691602601940073,0.7670569368244766,2.997005905084167e-138,4395.5398129698715,4416.018935782033
"HPIPONM226S, PI, NASDAQCOM, REVOLSL",0.7547729157637678,0.7525385004176518,1.7066155571594854e-132,4422.384476108546,4442.863598920707
"HPIPONM226S, PI, NASDAQCOM, SP500",0.7631764949810367,0.7610186498328001,8.182554644441049e-136,4406.902419639524,4427.381542451685
"HPIPONM226S, PI, REVOLSL, SP500",0.7651260999124976,0.7629860188183062,1.3365200337157226e-136,4403.232144970098,4423.711267782259
"HPIPONM226S, TTLCONS, CPIAUCSL, PCESV",0.738218026977849,0.7358327698204717,2.8187938048332592e-126,4451.389813997326,4471.868936809487
"HPIPONM226S, TTLCONS, CPIAUCSL, RSAFS",0.7587729756833617,0.7565750073524584,4.641349705455558e-134,4415.082382842411,4435.561505654572
"HPIPONM226S, TTLCONS, CPIAUCSL, PPIACO",0.7501424812454802,0.747865875152045,1.0296620430205084e-130,4430.690017682401,4451.169140494562
"HPIPONM226S, TTLCONS, CPIAUCSL, NASDAQCOM",0.7512099378822554,0.7489430580451917,4.02876089393233e-131,4428.789070043676,4449.268192855837
"HPIPONM226S, TTLCONS, CPIAUCSL, REVOLSL",0.7364698285502096,0.7340686424777741,1.2120719251603404e-125,4454.345020632276,4474.824143444437
"HPIPONM226S, TTLCONS, CPIAUCSL, SP500",0.762541944170169,0.7603783172377787,1.4709959645362118e-135,4408.090493355185,4428.569616167346
"HPIPONM226S, TTLCONS, PCESV, RSAFS",0.7562552255216402,0.7540343164147758,4.518691759523064e-133,4419.692511174895,4440.171633987056
"HPIPONM226S, TTLCONS, PCESV, PPIACO",0.7425235566257558,0.740177529806856,7.441882798185872e-128,4444.026624821276,4464.505747633437
"HPIPONM226S, TTLCONS, PCESV, NASDAQCOM",0.7519265465433662,0.749666196170185,2.1409550146327338e-131,4427.508338188048,4447.987461000209
